id,created_at,customer_id,status
0,2019-08-28 03:36:31,91,entregue
1,2019-08-16 20:21:30,7,entregue
2,2019-07-11 11:00:06,26,pagamento_pendente
3,2019-08-27 21:04:41,92,pagamento_pendente
4,2019-11-03 19:58:37,63,entrega_pendente
5,2019-04-04 07:31:10,3,entrega_pendente
6,2019-05-26 07:22:06,42,entrega_pendente
7,2020-02-07 21:48:37,51,pagamento_pendente
8,2020-01-09 11:26:29,35,carrinho
9,2019-04-27 17:34:19,5,pagamento_pendente
10,2019-06-28 12:14:42,47,entrega_pendente
11,2019-03-25 19:22:06,4,carrinho
12,2020-01-26 11:08:34,72,entregue
13,2019-11-29 05:59:33,8,carrinho
14,2019-08-02 21:03:26,38,pagamento_pendente
15,2019-05-13 06:29:01,8,carrinho
16,2019-02-12 13:59:16,98,carrinho
17,2019-06-03 09:11:43,63,carrinho
18,2019-09-04 21:54:30,97,entregue
19,2019-05-06 03:08:07,3,carrinho
20,2019-04-15 13:52:41,23,entregue
21,2020-02-24 06:04:55,56,carrinho
22,2019-07-01 04:41:14,6,entregue
23,2019-01-10 12:20:38,10,entregue
24,2019-01-18 09:03:56,52,pagamento_pendente
25,2019-12-01 09:51:21,99,entrega_pendente
26,2019-04-24 07:55:53,38,entregue
27,2019-10-14 11:35:12,26,entrega_pendente
28,2019-11-20 16:27:36,58,carrinho
29,2019-11-12 01:40:35,37,entrega_pendente
30,2019-09-15 11:18:28,30,entregue
31,2019-11-04 20:56:00,60,entregue
32,2019-08-20 15:09:42,31,entregue
33,2019-04-20 05:46:59,78,pagamento_pendente
34,2019-02-19 12:25:37,63,entrega_pendente
35,2019-07-22 04:03:30,98,entrega_pendente
36,2019-11-13 00:14:36,5,entregue
37,2019-06-29 06:35:55,7,cancelado
38,2019-03-06 01:56:30,82,pagamento_pendente
39,2019-03-01 09:15:19,61,entregue
40,2019-03-20 11:00:00,11,entregue
41,2019-06-17 02:23:48,12,entrega_pendente
42,2020-01-13 08:48:05,60,entregue
43,2019-02-19 02:49:40,60,entregue
44,2019-08-04 22:14:08,61,entregue
45,2019-06-30 09:50:23,77,entregue
46,2019-10-22 13:31:24,24,carrinho
47,2019-12-03 19:38:36,87,pagamento_pendente
48,2019-07-05 15:59:01,95,entregue
49,2019-03-24 08:38:17,47,cancelado
50,2020-01-12 20:39:45,8,carrinho
51,2020-01-20 13:56:45,81,cancelado
52,2019-09-01 15:32:08,44,carrinho
53,2020-01-31 01:02:30,69,entrega_pendente
54,2019-01-16 16:22:50,55,cancelado
55,2019-04-06 15:31:07,44,entrega_pendente
56,2019-06-18 14:25:19,92,pagamento_pendente
57,2019-02-11 01:17:48,58,entregue
58,2019-09-25 18:02:01,98,entrega_pendente
59,2019-05-10 11:14:49,85,entrega_pendente
60,2019-08-23 23:45:01,42,entrega_pendente
61,2019-04-15 06:32:11,86,pagamento_pendente
62,2019-08-19 19:07:18,23,entrega_pendente
63,2019-04-23 18:54:17,99,pagamento_pendente
64,2019-08-04 16:18:38,76,entregue
65,2020-02-01 16:40:28,26,entrega_pendente
66,2019-12-23 07:56:50,39,pagamento_pendente
67,2019-09-22 02:09:57,29,entregue
68,2019-12-14 12:51:02,46,cancelado
69,2019-12-06 14:02:01,8,entrega_pendente
70,2019-05-19 17:03:10,85,entrega_pendente
71,2019-06-01 12:09:23,17,entrega_pendente
72,2019-02-18 07:38:30,50,pagamento_pendente
73,2019-05-02 16:04:11,55,entrega_pendente
74,2019-05-27 10:54:25,3,pagamento_pendente
75,2019-03-20 22:03:42,43,pagamento_pendente
76,2019-12-13 20:43:07,56,entrega_pendente
77,2019-02-22 15:56:57,10,cancelado
78,2020-01-03 17:21:36,65,carrinho
79,2019-09-18 16:38:41,91,cancelado
80,2019-10-06 00:03:05,18,entregue
81,2019-10-15 01:14:52,27,carrinho
82,2019-02-19 01:45:34,4,carrinho
83,2020-01-26 19:23:10,9,entrega_pendente
84,2020-02-16 04:44:55,94,cancelado
85,2019-12-28 08:13:17,50,pagamento_pendente
86,2019-05-11 04:02:56,69,pagamento_pendente
87,2019-06-04 18:43:04,17,pagamento_pendente
88,2019-02-18 02:04:10,59,pagamento_pendente
89,2019-09-14 17:42:38,1,cancelado
90,2019-08-29 07:39:08,47,entregue
91,2019-11-12 11:26:51,61,pagamento_pendente
92,2019-10-29 19:44:16,71,pagamento_pendente
93,2019-05-16 06:34:28,77,carrinho
94,2019-05-25 11:57:36,95,entrega_pendente
95,2019-03-25 21:37:32,78,entregue
96,2019-03-30 05:33:10,80,carrinho
97,2020-02-12 18:09:38,8,carrinho
98,2019-12-21 20:36:32,74,carrinho
99,2019-12-31 01:47:47,62,carrinho
100,2019-06-23 05:26:22,8,pagamento_pendente
101,2019-01-16 02:56:22,69,entrega_pendente
102,2019-09-01 16:12:29,66,pagamento_pendente
103,2019-10-15 06:30:59,82,pagamento_pendente
104,2020-01-28 00:29:31,78,entregue
105,2019-06-10 02:01:39,32,cancelado
106,2019-05-21 20:03:46,89,pagamento_pendente
